No;Provinsi;2021;2022
1;ACEH;1676935.87;1533138.00
2;SUMATERA UTARA;2074855.91;2131672.00
3;SUMATERA BARAT;1361769.15;1422874.00
4;RIAU;223399.47;227346.30
5;JAMBI;316816.81;289276.80
6;SUMATERA SELATAN;2540944.30;2759343.00
7;BENGKULU;272772.61;290155.90
8;LAMPUNG;2472587.06;2661363.00
9;KEP. BANGKA BELITUNG;69720.93;62641.49
10;KEP. RIAU;961.52;589.68
11;DKI JAKARTA;3467.88;2741.38
12;JAWA BARAT;9354368.84;9620534.00
13;JAWA TENGAH;9765167.49;9579069.00
14;DI YOGYAKARTA;565032.13;580686.00
15;JAWA TIMUR;9908931.80;9686760.00
16;BANTEN;1629648.27;1776812.00
17;BALI;611455.63;691818.90
18;NUSA TENGGARA BARAT;1432460.26;1456923.00
19;NUSA TENGGARA TIMUR;730925.42;776867.10
20;KALIMANTAN BARAT;776797.43;814743.30
21;KALIMANTAN TENGAH;400444.04;353864.60
22;KALIMANTAN SELATAN;1041862.91;873130.30
23;KALIMANTAN TIMUR;240640.80;232143.50
24;KALIMANTAN UTARA;38164.61;37966.25
25;SULAWESI UTARA;228995.95;253478.90
26;SULAWESI TENGAH;866668.66;771524.90
27;SULAWESI SELATAN;5152871.43;5341021.00
28;SULAWESI TENGGARA;540292.61;494855.90
29;GORONTALO;229535.13;249708.90
30;SULAWESI BARAT;323426.53;364683.20
31;MALUKU;115067.74;92640.14
32;MALUKU UTARA;28980.60;24705.38
33;PAPUA BARAT;25290.61;24031.60
34;PAPUA;248358.99;191109.20
